strategy,lookback,horizon,active_dates,positions,mean_return,median_return,std_return,hit_rate,sharpe_like
lehmann_1d,1,1d,3090,15450,0.00015371862998445667,0.0002719896571526647,0.009645173474950827,0.513915857605178,0.015937362908368048
lehmann_1d,1,3d,3088,15440,0.0002784718531503329,8.024312509624708e-05,0.016368591387275592,0.501619170984456,0.017012572833042177
lehmann_1d,1,5d,3086,15430,0.0003030266604400606,-0.00012634717501066868,0.020871386821199576,0.4967595593000648,0.014518760206785544
lehmann_1d_high_vol,1,1d,1290,4518,0.00020444479233624959,8.464004588892111e-05,0.01155117053480484,0.5054263565891473,0.017699054110597436
lehmann_1d_high_vol,1,3d,1289,4516,0.0008035714433737565,0.00025627234671731967,0.019285212193847677,0.5081458494957332,0.04166775222883521
lehmann_1d_high_vol,1,5d,1287,4511,0.0007431192436175589,0.00032346149361753285,0.02490866503953812,0.5097125097125097,0.029833764372277197
lehmann_5d,5,1d,3086,15430,-5.346783189341398e-05,-0.0001473971959375327,0.009792379253000102,0.48930654569021387,-0.005460147172816349
lehmann_5d,5,3d,3084,15420,3.686789834387553e-06,-4.299058734646695e-05,0.016499972813384202,0.4977302204928664,0.00022344217630449414
lehmann_5d,5,5d,3082,15410,-7.467895863593423e-06,-1.0742326450657305e-05,0.020697341217270408,0.5,-0.00036081426040181496
lehmann_5d_high_vol,5,1d,1289,4516,0.00031204264970680307,2.7359952333136416e-06,0.01174159928641741,0.5003878975950349,0.026575821750940823
lehmann_5d_high_vol,5,3d,1288,4514,0.0009323676572347971,0.0004584071793885117,0.01916711515706444,0.5139751552795031,0.04864413082482857
lehmann_5d_high_vol,5,5d,1286,4509,0.0009845311997100864,0.0009247331212556967,0.024733494060475168,0.5139968895800933,0.03980558498135512
