group,horizon,count,mean_return,median_return,std_return,hit_rate
baseline,1d,1831,8.549909366050176e-06,-0.00015372052251994006,0.01106661965788707,0.4866193336974331
baseline,3d,1829,5.502565555661834e-05,-0.0011738054216339222,0.017300710319936977,0.4581738655002734
baseline,5d,1827,-1.5140693179695329e-05,-0.0017054081385809994,0.02209975628771637,0.4575807334428024
high_vol_filtered,1d,566,0.0005354486806962167,0.0005891471290495609,0.017407553111600502,0.5282685512367491
high_vol_filtered,3d,565,0.0012424739407005366,-0.00048167187331848993,0.02572349312883613,0.49557522123893805
high_vol_filtered,5d,563,0.001015014802557176,0.0006360885137972616,0.03299579605552339,0.5133214920071048
